Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-07-31,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-08-01,2.920000,2.920000,2.920000,2.920000,2.920000,0
2019-08-02,2.780000,2.780000,2.780000,2.780000,2.780000,4000
2019-08-05,2.780000,2.780000,2.780000,2.780000,2.780000,0
2019-08-06,2.780000,2.890000,2.650000,2.890000,2.890000,12000
2019-08-07,2.890000,2.890000,2.890000,2.890000,2.890000,0
2019-08-08,2.610000,2.610000,2.610000,2.610000,2.610000,28000
2019-08-09,2.350000,2.850000,2.350000,2.850000,2.850000,20000
2019-08-13,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-14,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-16,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-19,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-20,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-21,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-08-22,2.570000,2.570000,2.570000,2.570000,2.570000,12000
2019-08-23,2.320000,2.320000,2.320000,2.320000,2.320000,8000
2019-08-26,2.290000,2.290000,2.290000,2.290000,2.290000,4000
2019-08-27,2.410000,2.410000,2.410000,2.410000,2.410000,4000
2019-08-28,2.350000,2.350000,2.350000,2.350000,2.350000,4000
2019-08-29,2.370000,2.380000,2.370000,2.380000,2.380000,8000
2019-08-30,2.470000,2.470000,2.470000,2.470000,2.470000,4000
2019-09-03,2.300000,2.300000,2.300000,2.300000,2.300000,8000
2019-09-04,2.410000,2.410000,2.410000,2.410000,2.410000,4000
2019-09-05,2.320000,2.530000,2.320000,2.530000,2.530000,8000
2019-09-06,2.650000,2.650000,2.650000,2.650000,2.650000,4000
2019-09-09,2.740000,2.910000,2.740000,2.910000,2.910000,16000
2019-09-11,2.910000,2.910000,2.910000,2.910000,2.910000,0
2019-09-12,3.250000,3.250000,3.250000,3.250000,3.250000,4000
